Path,URL,Size in bytes (optional but recommended),MD5 Hash (optional but recommended),Filter Terms (optional),Overwrite (optional),Comments (optional)
docs/MegaCD/Manuals/3 Ninjas Kick Back.pdf,https://archive.org/download/mister-manuals/1992_Sega%20CD.zip/1992_Sega%20CD%2F3%20Ninjas%20Kick%20Back.pdf,952519,eb6c37a42113311816c7163150b9622d,,,3 Ninjas Kick Back.pdf
docs/MegaCD/Manuals/A-X-101.pdf,https://archive.org/download/mister-manuals/1992_Sega%20CD.zip/1992_Sega%20CD%2FA-X-101.pdf,958238,21c43828dbc5df065ac5e21d7b10d67a,,,A-X-101.pdf
docs/MegaCD/Manuals/AH-3 - ThunderStrike.pdf,https://archive.org/download/mister-manuals/1992_Sega%20CD.zip/1992_Sega%20CD%2FAH-3%20-%20ThunderStrike.pdf,1004286,66d698d211de75b50f35ef1f98db1ff4,,,AH-3 - ThunderStrike.pdf
docs/MegaCD/Manuals/Advanced Dungeons & Dragons - Eye of the Beholder.pdf,https://archive.org/download/mister-manuals/1992_Sega%20CD.zip/1992_Sega%20CD%2FAdvanced%20Dungeons%20%26%20Dragons%20-%20Eye%20of%20the%20Beholder.pdf,2654766,0f15bc13e922de2c7cc77aaa8ece3e39,,,Advanced Dungeons & Dragons - Eye of the Beholder.pdf
"docs/MegaCD/Manuals/Adventures of Batman & Robin, The.pdf",https://archive.org/download/mister-manuals/1992_Sega%20CD.zip/1992_Sega%20CD%2FAdventures%20of%20Batman%20%26%20Robin%2C%20The.pdf,925692,ebea13a4fb4cd33f7e78b01072599d8e,,,"Adventures of Batman & Robin, The.pdf"
"docs/MegaCD/Manuals/Adventures of Willy Beamish, The.pdf",https://archive.org/download/mister-manuals/1992_Sega%20CD.zip/1992_Sega%20CD%2FAdventures%20of%20Willy%20Beamish%2C%20The.pdf,849351,3822602c9be7520389667be440ced097,,,"Adventures of Willy Beamish, The.pdf"
docs/MegaCD/Manuals/After Burner III.pdf,https://archive.org/download/mister-manuals/1992_Sega%20CD.zip/1992_Sega%20CD%2FAfter%20Burner%20III.pdf,892305,c893648d7f20cd33a47e2da3c803210d,,,After Burner III.pdf
"docs/MegaCD/Manuals/Amazing Spider-Man vs. The Kingpin, The.pdf",https://archive.org/download/mister-manuals/1992_Sega%20CD.zip/1992_Sega%20CD%2FAmazing%20Spider-Man%20vs.%20The%20Kingpin%2C%20The.pdf,1525811,ab05c7f262e807085486ccfa53b30a1c,,,"Amazing Spider-Man vs. The Kingpin, The.pdf"
docs/MegaCD/Manuals/Android Assault - The Revenge of Bari-Arm.pdf,https://archive.org/download/mister-manuals/1992_Sega%20CD.zip/1992_Sega%20CD%2FAndroid%20Assault%20-%20The%20Revenge%20of%20Bari-Arm.pdf,772168,bf68ab6064510b654d929b6663882237,,,Android Assault - The Revenge of Bari-Arm.pdf
"docs/MegaCD/Manuals/Animals!, The.pdf",https://archive.org/download/mister-manuals/1992_Sega%20CD.zip/1992_Sega%20CD%2FAnimals%21%2C%20The.pdf,702075,64201cbfdb06baf4aa62eb9db0f370fb,,,"Animals!, The.pdf"
docs/MegaCD/Manuals/BC Racers.pdf,https://archive.org/download/mister-manuals/1992_Sega%20CD.zip/1992_Sega%20CD%2FBC%20Racers.pdf,547798,6c20e110e084b63791a03bf3b62b512d,,,BC Racers.pdf
docs/MegaCD/Manuals/Batman Returns.pdf,https://archive.org/download/mister-manuals/1992_Sega%20CD.zip/1992_Sega%20CD%2FBatman%20Returns.pdf,1855465,2ccb09759841b8feedd4f3d85260f908,,,Batman Returns.pdf
docs/MegaCD/Manuals/BattleCorps.pdf,https://archive.org/download/mister-manuals/1992_Sega%20CD.zip/1992_Sega%20CD%2FBattleCorps.pdf,839062,77683f85d4808e74e04c076313cde9e7,,,BattleCorps.pdf
docs/MegaCD/Manuals/Bill Walsh College Football.pdf,https://archive.org/download/mister-manuals/1992_Sega%20CD.zip/1992_Sega%20CD%2FBill%20Walsh%20College%20Football.pdf,3098638,5e2c085a5b8127989de70879f7f1cf2e,,,Bill Walsh College Football.pdf
docs/MegaCD/Manuals/Black Hole Assault.pdf,https://archive.org/download/mister-manuals/1992_Sega%20CD.zip/1992_Sega%20CD%2FBlack%20Hole%20Assault.pdf,1115130,ee52cbd431e3fc675454b5f6bdd123e7,,,Black Hole Assault.pdf
docs/MegaCD/Manuals/Bouncers.pdf,https://archive.org/download/mister-manuals/1992_Sega%20CD.zip/1992_Sega%20CD%2FBouncers.pdf,1180579,29f91b6fb1467369dfdaeca3176066a9,,,Bouncers.pdf
docs/MegaCD/Manuals/Bram Stoker_s Dracula.pdf,https://archive.org/download/mister-manuals/1992_Sega%20CD.zip/1992_Sega%20CD%2FBram%20Stoker_s%20Dracula.pdf,629145,833562cd2d6cda9d7f35e0241003e0c2,,,Bram Stoker_s Dracula.pdf
docs/MegaCD/Manuals/Brutal - Paws of Fury.pdf,https://archive.org/download/mister-manuals/1992_Sega%20CD.zip/1992_Sega%20CD%2FBrutal%20-%20Paws%20of%20Fury.pdf,2870308,4a2ce60fd0f0b57978f11188b1f0f38d,,,Brutal - Paws of Fury.pdf
docs/MegaCD/Manuals/Cadillacs and Dinosaurs - The Second Cataclysm.pdf,https://archive.org/download/mister-manuals/1992_Sega%20CD.zip/1992_Sega%20CD%2FCadillacs%20and%20Dinosaurs%20-%20The%20Second%20Cataclysm.pdf,1209696,0a50e45f91c9adf9f7566e5b2678d1fe,,,Cadillacs and Dinosaurs - The Second Cataclysm.pdf
docs/MegaCD/Manuals/Championship Soccer _94.pdf,https://archive.org/download/mister-manuals/1992_Sega%20CD.zip/1992_Sega%20CD%2FChampionship%20Soccer%20_94.pdf,1479605,bbaef69efc4f8708f16354e1ce114580,,,Championship Soccer _94.pdf
docs/MegaCD/Manuals/Chuck Rock .pdf,https://archive.org/download/mister-manuals/1992_Sega%20CD.zip/1992_Sega%20CD%2FChuck%20Rock%20.pdf,1004839,dfc4d3fb1222c2db020d753b716fe2aa,,,Chuck Rock .pdf
docs/MegaCD/Manuals/Chuck Rock II - Son of Chuck.pdf,https://archive.org/download/mister-manuals/1992_Sega%20CD.zip/1992_Sega%20CD%2FChuck%20Rock%20II%20-%20Son%20of%20Chuck.pdf,586948,9a11374991deeaf81f976ba679ea09a0,,,Chuck Rock II - Son of Chuck.pdf
docs/MegaCD/Manuals/Cliffhanger.pdf,https://archive.org/download/mister-manuals/1992_Sega%20CD.zip/1992_Sega%20CD%2FCliffhanger.pdf,841346,bbbc84d04cf74d5d6fbe821f761cb8e8,,,Cliffhanger.pdf
docs/MegaCD/Manuals/Cobra Command.pdf,https://archive.org/download/mister-manuals/1992_Sega%20CD.zip/1992_Sega%20CD%2FCobra%20Command.pdf,855696,1bd841b8eebd302b5ec21e5f419b8199,,,Cobra Command.pdf
"docs/MegaCD/Manuals/Colors of Modern Rock, The.pdf",https://archive.org/download/mister-manuals/1992_Sega%20CD.zip/1992_Sega%20CD%2FColors%20of%20Modern%20Rock%2C%20The.pdf,891528,5d15e7262eb920323c2213c9630307b6,,,"Colors of Modern Rock, The.pdf"
docs/MegaCD/Manuals/Compton_s Interactive Encylcopedia.pdf,https://archive.org/download/mister-manuals/1992_Sega%20CD.zip/1992_Sega%20CD%2FCompton_s%20Interactive%20Encylcopedia.pdf,407721,3f8d6be73104b2df9c13682022aef9fc,,,Compton_s Interactive Encylcopedia.pdf
docs/MegaCD/Manuals/Corpse Killer.pdf,https://archive.org/download/mister-manuals/1992_Sega%20CD.zip/1992_Sega%20CD%2FCorpse%20Killer.pdf,720148,40ab280f40045db18fd012a105a5bf70,,,Corpse Killer.pdf
docs/MegaCD/Manuals/Crime Patrol.pdf,https://archive.org/download/mister-manuals/1992_Sega%20CD.zip/1992_Sega%20CD%2FCrime%20Patrol.pdf,550388,f9625a7570a85510d18b6a584dff7ad2,,,Crime Patrol.pdf
docs/MegaCD/Manuals/Dark Wizard.pdf,https://archive.org/download/mister-manuals/1992_Sega%20CD.zip/1992_Sega%20CD%2FDark%20Wizard.pdf,2234363,3633f6e6aaa960eea5a0074d7cf1ce9c,,,Dark Wizard.pdf
docs/MegaCD/Manuals/Demolition Man.pdf,https://archive.org/download/mister-manuals/1992_Sega%20CD.zip/1992_Sega%20CD%2FDemolition%20Man.pdf,1062777,fd0dafe969726ecea635028d867e6920,,,Demolition Man.pdf
docs/MegaCD/Manuals/Double Switch.pdf,https://archive.org/download/mister-manuals/1992_Sega%20CD.zip/1992_Sega%20CD%2FDouble%20Switch.pdf,1079196,805f16913ac2c9525064a2f367dadf62,,,Double Switch.pdf
docs/MegaCD/Manuals/Dracula Unleashed.pdf,https://archive.org/download/mister-manuals/1992_Sega%20CD.zip/1992_Sega%20CD%2FDracula%20Unleashed.pdf,926742,76e565392e9a60883e3bdd947bad7372,,,Dracula Unleashed.pdf
docs/MegaCD/Manuals/Dragon_s Lair.pdf,https://archive.org/download/mister-manuals/1992_Sega%20CD.zip/1992_Sega%20CD%2FDragon_s%20Lair.pdf,723906,8479c801d28d7f37bb0301be327ede9b,,,Dragon_s Lair.pdf
docs/MegaCD/Manuals/Dune.pdf,https://archive.org/download/mister-manuals/1992_Sega%20CD.zip/1992_Sega%20CD%2FDune.pdf,1701845,e19a425a8887f3729a3d9ca1ba6aac55,,,Dune.pdf
docs/MegaCD/Manuals/Dungeon Explorer.pdf,https://archive.org/download/mister-manuals/1992_Sega%20CD.zip/1992_Sega%20CD%2FDungeon%20Explorer.pdf,1418427,9c256a840ac667b3c0f953b34adbd4c5,,,Dungeon Explorer.pdf
docs/MegaCD/Manuals/Dungeon Master II - The Legend of Skullkeep.pdf,https://archive.org/download/mister-manuals/1992_Sega%20CD.zip/1992_Sega%20CD%2FDungeon%20Master%20II%20-%20The%20Legend%20of%20Skullkeep.pdf,2318846,4c395656023353fd8c3ac7de94fdc93e,,,Dungeon Master II - The Legend of Skullkeep.pdf
docs/MegaCD/Manuals/ESPN Baseball Tonight.pdf,https://archive.org/download/mister-manuals/1992_Sega%20CD.zip/1992_Sega%20CD%2FESPN%20Baseball%20Tonight.pdf,1554914,b118a4c26d185206eec0f0a214126008,,,ESPN Baseball Tonight.pdf
docs/MegaCD/Manuals/ESPN NBA HangTime _95.pdf,https://archive.org/download/mister-manuals/1992_Sega%20CD.zip/1992_Sega%20CD%2FESPN%20NBA%20HangTime%20_95.pdf,1229602,11c5620583f31fd0ef4f619cad6fa294,,,ESPN NBA HangTime _95.pdf
docs/MegaCD/Manuals/ESPN National Hockey Night.pdf,https://archive.org/download/mister-manuals/1992_Sega%20CD.zip/1992_Sega%20CD%2FESPN%20National%20Hockey%20Night.pdf,1292729,e5535dffbaf6368c841df10bd9587a8c,,,ESPN National Hockey Night.pdf
docs/MegaCD/Manuals/ESPN Sunday Night NFL.pdf,https://archive.org/download/mister-manuals/1992_Sega%20CD.zip/1992_Sega%20CD%2FESPN%20Sunday%20Night%20NFL.pdf,1330709,5d84a465703d3addd322d18fb9deda92,,,ESPN Sunday Night NFL.pdf
docs/MegaCD/Manuals/Earthworm Jim - Special Edition.pdf,https://archive.org/download/mister-manuals/1992_Sega%20CD.zip/1992_Sega%20CD%2FEarthworm%20Jim%20-%20Special%20Edition.pdf,1717250,c573354703f288b7a0344e43789b7b39,,,Earthworm Jim - Special Edition.pdf
